Timestamp,Your Class,Which sessions did you attend?,How would you rate the sessions you attended?,What did you like about the sessions?,Any suggestions to improve the sessions?,Any overall feedback about Teacher's Day?,Column 1
9/5/2025 12:47:50,1EK1,BEE,5,,,,1EK1BEE
9/5/2025 14:40:15,1EK1,BEE,4,,,,1EK1BEE
9/5/2025 14:40:56,1EK1,BEE,4,,,Good,1EK1BEE
9/5/2025 14:41:34,1EK1,BEE,2,I liked a way they explained about Solar cell,Teachers failed to control decoram of class.,,1EK1BEE
9/5/2025 14:41:58,1EK1,BEE,3,Everything ,No,Nice !!!,1EK1BEE
9/5/2025 14:42:18,1EK1,BEE,3,,,,1EK1BEE
9/5/2025 14:42:20,1EK1,BEE,2,..,..,Good ,1EK1BEE
9/5/2025 14:42:53,1EK1,BEE,4,,,,1EK1BEE
9/5/2025 14:42:55,1EK1,BEE,4,They are asking so many questions related to 12 and ict,No,No,1EK1BEE
9/5/2025 14:43:19,1EK1,BEE,4,Questions,No,Good,1EK1BEE
9/5/2025 14:43:19,1EK1,BEE,3,,,,1EK1BEE
9/5/2025 14:43:43,1EK1,BEE,5,,,,1EK1BEE
9/5/2025 14:44:03,1EK1,BEE,4,Clear the topic ,No,Good ,1EK1BEE
9/5/2025 14:44:06,1EK1,BEE,2,,,,1EK1BEE
9/5/2025 14:44:19,1EK1,BEE,4,Good ,. no ,,1EK1BEE
9/5/2025 14:45:04,1EK1,BEE,4,,,,1EK1BEE
9/5/2025 14:45:05,1EK1,BEE,1,I didn't like the way of teaching ,"Instead of introducing us to new concepts, skills, or knowledge that could actually expand our understanding, they repeatedly kept asking us questions about things we already knew well. It felt less like a learning session and more like a revision of familiar topics. Rather than challenging us or providing fresh insights, they focused on recycling the same material, which made the experience unproductive and somewhat frustrating.",,1EK1BEE
9/5/2025 14:45:15,1EK1,BEE,5,,,,1EK1BEE
9/5/2025 14:46:03,1EK1,BEE,,,,,1EK1BEE
9/5/2025 14:46:56,1EK1,BEE,5,Good,No,No,1EK1BEE
9/5/2025 14:47:35,1EK1,BEE,2,Clarification ,Need to explain better,Happy teachers day,1EK1BEE
9/5/2025 14:47:36,1EK1,BEE,4,Good,Can just try teaching new topics just not ask questions only,It was good,1EK1BEE
9/5/2025 14:49:36,1EK1,BEE,3,,They are asking questions most of time instead of teaching new topics to us.,Really enjoyed the day.,1EK1BEE
